date,time,city,state,country,shape,duration-seconds,duration-hours-min,comments,date-posted,latitude,longitude
10/1/1993 20:00,delaware,oh,us,light,7200,2 hours,"Lights in localized semi-rural area&#44 beams emitted&#44 possible sound&#44 possible contact&#44 video tape",2/14/2008,40.2986111,-83.0680556
1994/10/15,21:00,outside of delaware,oh,,teardrop,7200,21:00 to 23:00,"Four UFOs and a mothership on tape",10/30/2006,40.298672,-83.067965
2003/10/15,23:30,delaware,oh,us,light,3,2-3 seconds,"Flashing Large lights like intense headlights on the bedroom wall over my bed at night&#33",12/9/2003,40.2986111,-83.0680556
2011/10/22,22:30,mile marker 41 garden state parkway,nj,,fireball,300,5 min,"Orange fireball objects in sky in new jersey",10/25/2011,39.736928,-75.553649
2012/10/22,19:45,milford,de,us,formation,420,7 minutes,"5 differeny colored lights flashing and blinking and solid orange burst heading over delaware bay",10/30/2012,38.9125000,-75.4283333
2008/10/29,07:50,delaware,oh,us,light,60,1minute,"Small red light object seen above Ohio Wesleyan University in Delaware&#44 OH.",1/10/2009,40.2986111,-83.0680556
2005/1/10,19:00,fortescue (over the delaware bay),nj,us,circle,30,30 seconds,"Light with erratic flight pattern",1/11/2005,39.2375000,-75.1719444
1976/11/17,15:00,pennsylvania (30&#44000 ft. above on coast),pa,,disk,15,15sec,"i was in a jet at 30&#44000 ft over penn on a clear sunny day looking out the window i saw a adamski style craft all silver 40 ft in diami",8/10/1999,41.203322,-77.194525
1/1/2011 22:30,doylestown,pa,us,light,1800,30 minutes,"ufo sightingin doylestown pennsylvania",1/5/2011,40.3100000,-75.1302778
1/2/2007 17:45,delaware,oh,us,light,240,4 minutes,"I had two sightings last night in the city of Delaware&#44 Ohio. I usually walk the dog twice after work. The first sighting was around 5:",2/1/2007,40.2986111,-83.0680556
2/1/2003 09:00,delaware,oh,us,sphere,60,60sec,"MORNING TIME SHIP FLY BY",2/5/2003,40.2986111,-83.0680556
2006/2/23,06:20,new jersey (assumed; in-flight),nj,,disk,300,5 minutes,"1 flying object splits into 5 diffrent saucers then vanishes",3/11/2006,40.058324,-74.405661
2000/3/14,04:50,new york city/staten island (w/ new jersey),ny,,unknown,300,5 minutes,"see below",4/1/2000,40.579532,-74.150201
2004/3/15,20:45,parsippany,nj,us,triangle,90,1:30,"Flying triangle spotted in new jersey",3/4/2008,40.8577778,-74.4263889
2008/3/18,17:00,toms river,nj,us,rectangle,1800,30 min,"Silent Rectangular aircraft sighted mid-march&#44 toms river&#44 new jersey",3/31/2008,39.9536111,-74.1983333
2009/3/25,08:00,cataqua,pa,,triangle,1800,30 minutes,"I saw that craft yesterday seen in N.J. it was in pennsylvania first for a while&#44",4/14/2009,41.203322,-77.194525
3/5/2005 21:00,elmira,ny,us,circle,2,a few seconds,"a huge perfect circle showed up on radar over north central pennsylvania. Did anyone else notice it?",5/11/2005,42.0897222,-76.8080556
3/6/2004 20:00,new jersey (southern),nj,,light,120,2 minutes,"Mother and two children witness peculiar bright light near Moon&#44 which is seen to accelerate suddenly.",3/9/2004,40.058324,-74.405661
2003/4/12,03:18,delaware,oh,us,circle,240,3-4 minites,"4-12-03 Delaware &#44Ohio  Large White light across field hovering and zipping in straight lines &quot;curious&quot;",5/24/2005,40.2986111,-83.0680556
2007/5/15,07:00,new jersey graden state parkway,nj,,light,50,about 50 seconds in the m,"Driving on the NJ Garden State Turnpike going to the Newark Airport&#44 i noticed helicopters surrounding a UFO.  ((Student report.  PD))",6/12/2007,40.385037,-74.174956
1997/5/22,22:21,chatham,nj,us,disk,600,5-10 min.,"5/22/97 22:21 large object over morris/union county new jersey. ten degrees above horizon.",1/11/2002,40.7408333,-74.3841667
2011/5/28,00:15,genoa township,oh,,sphere,180,aprox 3 mins.,"5 orange orbs seen over delaware county.",5/29/2011,40.182911,-82.89636
5/7/2012 21:30,delaware,oh,us,circle,120,2 minutes,"Circle of lights in Ohio",5/13/2012,40.2986111,-83.0680556
6/1/1960 13:00,new jersey (southern),nj,,cigar,240,4 minutes,"Cigar shaped object dropped pieces of heated metal.  I acquired one of the pieces in 1962.  Photograph to follow.",7/11/2000,40.058324,-74.405661
1995/6/15,19:55,pennsylvania (western),pa,,sphere,480,5-8 minutes,"Red Globes over western Pennsylvania....",3/4/2008,41.203322,-77.194525
2002/6/15,20:30,equinunk,pa,us,egg,3600,1 hour,"7 ufo&#39s stop over the upper delaware river valley",12/16/2005,41.8558333,-75.2241667
2003/6/15,23:20,new jersey highway,nj,,oval,4,3 to 4 seconds,"Dull green oval crossed the skyline",6/18/2003,40.177431,-74.629447
1991/6/20,20:00,dover (near),de,us,triangle,14400,3-4 hours,"1991 dover delaware.  triangular craft",9/2/2005,39.1580556,-75.5247222
2006/6/20,21:30,west chester,pa,us,egg,5,5 seconds,"bright green egg shage light in SE pennsylvania sky",7/16/2006,39.8494444,-75.3561111
2010/6/21,23:00,trenton,nj,us,triangle,1800,30 minutes,"green lights moving at high speed over trenton new jersey.",6/23/2010,40.2169444,-74.7433333
1974/6/30,19:00,camden,nj,us,rectangle,300,5 mins,"bronze colored ufo hangs over high street in camden new jersey in the early 70&#39s",4/1/2001,39.9258333,-75.1200000
6/6/2006 10:00,clark,nj,us,light,10,10 seconds,"clark new jersey 10:14 06/06/06 garden state parkway  flash of light",7/16/2006,40.6408333,-74.3111111
6/9/2010 21:30,delaware (highway de-1 n),de,,circle,120,2 minutes,"My boyfriend and I were driving on DE-1 N crossing a bridge going toward 13 N when we saw a round object with big white and red lights",6/10/2010,38.910833,-75.52767
1997/7/15,21:00,new jersey,nj,,fireball,5,3-5 seconds,"about 2 and a half years ago I saw a ball shaped object fly across the sky at a fast speed.",4/1/2000,40.058324,-74.405661
2002/7/15,21:00,atlantic,nj,,unknown,60,1 minute,"UFO Seen Over Atlantic (Ocean) on the same night as major new jersey sighting last year.",8/16/2002,39.533338,-74.686882
2001/7/16,22:00,lower allen,pa,us,light,180,2:00-3:00min,"similar to new jersey sightings &#44lead to gathering",8/5/2001,40.2263889,-76.9008333
2008/7/19,06:15,delaware (rte. 113),de,,sphere,5,5 seconds,"Fast moving bright white light the was sperical in shape .It blinked three times then vanished.",8/12/2008,38.910833,-75.52767
1964/7/20,20:00,new jersey (northern),nj,,light,120,several minutes,"Returning with Uncle and Aunt by car from Lake Hopatcong&#44 and driving along Rt.46 near Rt. 80 in northern New Jersey&#44 I spotted 2 orang",9/2/2005,40.058324,-74.405661
2013/7/22,05:30,new jersey,nj,,rectangle,180,3 minutes,"Bright orange rectangular UFO jumped across sky then shot off into horizon at immense speed.",8/30/2013,40.058324,-74.405661
2003/7/24,00:00,kuwait (camp &quot;new jersey&quot;),,,disk,240,4 minutes,"3 different type of lights spinning CW and CCW against each other and the craft would appear and disappear.",2/27/2014,29.31166,47.481766
2003/7/30,02:30,delaware,oh,us,changing,1800,30minutes,"Dancing light in the sky appeared like a star but then changed colors and positions rapidly unlike a plane",8/28/2003,40.2986111,-83.0680556
7/4/2012 21:30,newark,de,us,fireball,120,2 minutes,"Red glowing fireball floating across field in Newark delaware",8/5/2012,39.6836111,-75.7500000
2003/8/13,21:50,delaware,oh,us,unknown,60,1 minute,"This object seen in the same general Westerly direction of the report I filed last week.  This is now the third or fourth time since mo",8/28/2003,40.2986111,-83.0680556
2011/8/20,19:30,delaware,oh,us,sphere,4,3-4 seconds,"bright round ball of light go straight over then disappeared",10/10/2011,40.2986111,-83.0680556
2004/8/24,01:15,sea isle,nj,,light,2700,45 minutes to an hour,"light over the ocean in sea isle new jersey  ((NUFORC Note:  Possible celestial body&#44 or &quot;twinkling&quot; star?  PD))",9/9/2004,39.153448,-74.692939
2003/8/28,01:30,delaware,oh,us,light,600,10 mins,"Staying up late is sometimes a part of being a student&#33  Right before going to sleep&#44 after spending several hours of reading&#44 I often",9/4/2003,40.2986111,-83.0680556
2013/8/30,21:00,bedminster,nj,us,fireball,180,3 minutes,"I was traveling 206 north off of 287 north in new jersey with my mom at approximately 9pm Saturday night&#44 August 30&#44 2013. My mom notic",9/9/2013,40.6805556,-74.6458333
8/6/2012 22:00,north bergen,nj,us,sphere,20,half hour,"Another Triangular Formation in the skies of new jersey 3 glowing lights",8/19/2012,40.8041667,-74.0125000
2011/9/10,00:00,point pleasant,nj,us,light,600,10 minutes,"Fireballs over new jersey",10/10/2011,40.0830556,-74.0686111
2013/9/13,22:15,bricktown,nj,us,sphere,3,3 seconds,"Brilliant white-bluish round light in sky over new jersey.",11/11/2013,40.0591667,-74.1375000
2008/9/14,19:20,stroudsburg,pa,us,other,180,3 minutes,"Flying wing observed in pennsylvania on september 14 2008",10/31/2008,40.9866667,-75.1950000
2009/9/19,20:30,scotch plains,nj,us,light,45,45 seconds,"Spotlight over new jersey.  ((NUFORC Note:  Missile launch.  PD))",12/12/2009,40.6552778,-74.3902778
2002/9/21,14:00,pennsylvania,pa,,other,600,10 minutes,"&quot;Black square&quot; witnessed by truck driver in Pennsylvania.",10/28/2002,41.203322,-77.194525
